amount,bin,status,fraud,BankFrequency,AmountCategory,AmountMark
amount below 1000,455511,paid,0,64,2.0,750.0
amount below 1000,376665,paid,0,11,2.0,750.0
amount below 500,477213,paid,0,370,1.0,250.0
amount below 1500,493158,paid,0,54,3.0,1250.0
amount below 1000,415231,refunded,1,1060,2.0,750.0
amount below 1000,415231,refunded,1,1060,2.0,750.0
amount below 2500,493161,paid,0,203,5.0,2250.0
amount below 1000,525678,refunded,1,496,2.0,750.0
amount below 1000,549138,paid,0,399,2.0,750.0
amount below 1000,549138,paid,0,399,2.0,750.0
amount below 500,376689,paid,0,93,1.0,250.0
amount below 1000,493172,paid,0,135,2.0,750.0
amount below 500,370785,paid,0,16,1.0,250.0
amount below 1500,530756,paid,0,12,3.0,1250.0
amount below 1500,520698,paid,0,14,3.0,1250.0
amount below 500,545375,paid,0,53,1.0,250.0
amount below 500,405306,paid,0,57,1.0,250.0
amount below 1500,455255,paid,0,194,3.0,1250.0
amount below 2000,549138,charged_back,1,399,4.0,1750.0
amount below 500,557909,paid,0,139,1.0,250.0
amount below 1500,493172,paid,0,135,3.0,1250.0
amount below 1500,520698,paid,0,14,3.0,1250.0
amount below 1000,473701,paid,0,68,2.0,750.0
amount below 1500,520416,paid,0,461,3.0,1250.0
amount below 1000,558426,paid,0,30,2.0,750.0
amount below 2000,520416,paid,0,461,4.0,1750.0
amount below 500,415231,paid,0,1060,1.0,250.0
amount below 1000,557910,paid,0,418,2.0,750.0
amount below 500,548234,paid,0,227,1.0,250.0
amount below 1000,377847,paid,0,1,2.0,750.0
amount below 500,557907,paid,0,269,1.0,250.0
amount below 1000,376689,paid,0,93,2.0,750.0
amount below 1500,415231,paid,0,1060,3.0,1250.0
amount below 1000,425981,paid,0,77,2.0,750.0
amount below 1000,491283,charged_back,1,183,2.0,750.0
amount below 1000,455511,paid,0,64,2.0,750.0
amount below 1000,525678,paid,0,496,2.0,750.0
amount below 2000,525678,paid,0,496,4.0,1750.0
amount below 1000,520416,paid,0,461,2.0,750.0
amount below 500,421316,refunded,1,212,1.0,250.0
amount below 1000,520416,paid,0,461,2.0,750.0
amount below 1000,455504,paid,0,8,2.0,750.0
amount below 1000,463186,paid,0,30,2.0,750.0
amount below 500,426513,paid,0,4,1.0,250.0
amount below 1500,491283,charged_back,1,183,3.0,1250.0
amount below 1000,493172,charged_back,1,135,2.0,750.0
amount below 1500,477291,paid,0,531,3.0,1250.0
amount below 1000,491283,charged_back,1,183,2.0,750.0
amount below 4500,528843,paid,0,282,9.0,4250.0
amount below 1000,533609,refunded,1,53,2.0,750.0
amount below 1000,376690,paid,0,25,2.0,750.0
amount below 1000,493172,charged_back,1,135,2.0,750.0
amount below 500,491283,paid,0,183,1.0,250.0
amount below 1000,533609,refunded,1,53,2.0,750.0
amount below 2000,463186,paid,0,30,4.0,1750.0
amount below 3000,547092,paid,0,10,6.0,2750.0
amount below 1500,455540,paid,0,26,3.0,1250.0
amount below 1000,477214,paid,0,196,2.0,750.0
amount below 500,530056,paid,0,99,1.0,250.0
amount below 1000,415231,paid,0,1060,2.0,750.0
amount below 500,530056,paid,0,99,1.0,250.0
amount below 2000,455511,paid,0,64,4.0,1750.0
amount below 1000,376702,paid,0,12,2.0,750.0
amount below 500,525678,paid,0,496,1.0,250.0
amount below 500,528843,paid,0,282,1.0,250.0
amount below 1000,557910,paid,0,418,2.0,750.0
amount below 3500,491282,charged_back,1,37,7.0,3250.0
amount below 500,404360,paid,0,51,1.0,250.0
amount below 500,491283,paid,0,183,1.0,250.0
amount below 500,477291,paid,0,531,1.0,250.0
amount below 500,549138,paid,0,399,1.0,250.0
amount below 500,530056,paid,0,99,1.0,250.0
amount below 500,530056,paid,0,99,1.0,250.0
amount below 1000,376704,paid,0,10,2.0,750.0
amount below 2000,528843,paid,0,282,4.0,1750.0
amount below 1500,494133,paid,0,30,3.0,1250.0
amount below 1000,376704,paid,0,10,2.0,750.0
amount below 1500,525678,paid,0,496,3.0,1250.0
amount below 1000,533609,paid,0,53,2.0,750.0
amount below 1500,528843,paid,0,282,3.0,1250.0
amount below 2500,493172,paid,0,135,5.0,2250.0
amount below 1500,528843,paid,0,282,3.0,1250.0
amount below 1500,477213,charged_back,1,370,3.0,1250.0
amount below 500,512795,charged_back,1,14,1.0,250.0
amount below 500,376703,paid,0,3,1.0,250.0
amount below 500,376703,paid,0,3,1.0,250.0
amount below 1000,415231,paid,0,1060,2.0,750.0
amount below 1000,512795,charged_back,1,14,2.0,750.0
amount below 500,370786,paid,0,13,1.0,250.0
amount below 500,477213,paid,0,370,1.0,250.0
amount below 500,557907,paid,0,269,1.0,250.0
amount below 2000,520416,paid,0,461,4.0,1750.0
amount below 1000,477213,charged_back,1,370,2.0,750.0
amount below 1000,421316,paid,0,212,2.0,750.0
amount below 1000,417849,paid,0,41,2.0,750.0
amount below 1000,529001,charged_back,1,42,2.0,750.0
amount below 4500,477214,paid,0,196,9.0,4250.0
amount below 500,548234,paid,0,227,1.0,250.0
amount below 500,557905,refunded,1,12,1.0,250.0
amount below 1500,421316,refunded,1,212,3.0,1250.0
amount below 500,477213,paid,0,370,1.0,250.0
amount below 1500,421316,refunded,1,212,3.0,1250.0
amount below 1500,421316,refunded,1,212,3.0,1250.0
amount below 1000,405930,paid,0,51,2.0,750.0
amount below 1000,455511,paid,0,64,2.0,750.0
amount below 500,454069,paid,0,10,1.0,250.0
amount below 500,493166,paid,0,5,1.0,250.0
amount below 1000,547096,paid,0,54,2.0,750.0
amount below 1000,416916,paid,0,73,2.0,750.0
amount below 500,525678,paid,0,496,1.0,250.0
amount below 1000,421316,paid,0,212,2.0,750.0
amount below 1000,557907,paid,0,269,2.0,750.0
amount below 500,491089,paid,0,197,1.0,250.0
amount below 1000,525678,paid,0,496,2.0,750.0
amount below 1500,477291,charged_back,1,531,3.0,1250.0
amount below 500,491089,paid,0,197,1.0,250.0
amount below 1000,491282,paid,0,37,2.0,750.0
amount below 500,548234,paid,0,227,1.0,250.0
amount below 1000,512745,paid,0,21,2.0,750.0
amount below 2500,493172,paid,0,135,5.0,2250.0
amount below 2000,431479,paid,0,8,4.0,1750.0
amount below 1500,520416,paid,0,461,3.0,1250.0
amount below 1000,525678,paid,0,496,2.0,750.0
amount below 1000,557907,paid,0,269,2.0,750.0
amount below 1000,518004,paid,0,22,2.0,750.0
amount below 1000,525678,paid,0,496,2.0,750.0
amount below 1000,376706,paid,0,12,2.0,750.0
amount below 1000,413406,paid,0,45,2.0,750.0
amount below 1500,552263,paid,0,10,3.0,1250.0
amount below 1000,493161,paid,0,203,2.0,750.0
amount below 500,493162,paid,0,33,1.0,250.0
amount below 1000,477214,charged_back,1,196,2.0,750.0
amount below 500,415231,paid,0,1060,1.0,250.0
amount below 1000,370787,paid,0,29,2.0,750.0
amount below 1500,477213,paid,0,370,3.0,1250.0
amount below 500,557907,paid,0,269,1.0,250.0
amount below 1500,549138,paid,0,399,3.0,1250.0
amount below 500,493173,paid,0,163,1.0,250.0
amount below 1000,415231,paid,0,1060,2.0,750.0
amount below 1000,533609,paid,0,53,2.0,750.0
amount below 2000,520416,paid,0,461,4.0,1750.0
amount below 1500,491375,paid,0,42,3.0,1250.0
amount below 1500,533609,paid,0,53,3.0,1250.0
amount below 1500,491283,antifraud_declined,1,183,3.0,1250.0
amount below 2500,549631,paid,0,10,5.0,2250.0
amount below 1500,491283,refunded,1,183,3.0,1250.0
amount below 500,557907,paid,0,269,1.0,250.0
amount below 500,516603,paid,0,2,1.0,250.0
amount below 1500,491283,refunded,1,183,3.0,1250.0
amount below 1000,491283,charged_back,1,183,2.0,750.0
amount below 500,481516,paid,0,7,1.0,250.0
amount below 500,376704,paid,0,10,1.0,250.0
amount below 500,528804,paid,0,5,1.0,250.0
amount below 1000,491283,charged_back,1,183,2.0,750.0
amount below 500,547096,paid,0,54,1.0,250.0
amount below 500,481516,paid,0,7,1.0,250.0
amount below 4000,491283,charged_back,1,183,8.0,3750.0
amount below 500,547096,paid,0,54,1.0,250.0
amount below 3000,455511,charged_back,1,64,6.0,2750.0
amount below 4000,491283,charged_back,1,183,8.0,3750.0
amount below 2500,512795,charged_back,1,14,5.0,2250.0
amount below 1500,455511,charged_back,1,64,3.0,1250.0
amount below 5500,491283,charged_back,1,183,11.0,5250.0
amount below 500,491375,paid,0,42,1.0,250.0
amount below 2000,525678,paid,0,496,4.0,1750.0
amount below 1500,525678,refunded,1,496,3.0,1250.0
amount below 500,491375,refunded,1,42,1.0,250.0
amount below 500,455540,charged_back,1,26,1.0,250.0
amount below 500,520021,charged_back,1,38,1.0,250.0
amount below 500,415231,paid,0,1060,1.0,250.0
amount below 1500,491282,paid,0,37,3.0,1250.0
amount below 500,455540,paid,0,26,1.0,250.0
amount below 2500,549949,paid,0,91,5.0,2250.0
amount below 1000,520416,paid,0,461,2.0,750.0
amount below 1000,455255,paid,0,194,2.0,750.0
amount below 1500,405930,paid,0,51,3.0,1250.0
amount below 500,552213,paid,0,1,1.0,250.0
amount below 500,477214,paid,0,196,1.0,250.0
amount below 500,415231,paid,0,1060,1.0,250.0
amount below 1500,477211,paid,0,4,3.0,1250.0
amount below 1000,493173,charged_back,1,163,2.0,750.0
amount below 500,477291,paid,0,531,1.0,250.0
amount below 1000,557910,paid,0,418,2.0,750.0
amount below 1000,528843,paid,0,282,2.0,750.0
amount below 1000,455511,paid,0,64,2.0,750.0
amount below 1500,417849,paid,0,41,3.0,1250.0
amount below 3500,477214,paid,0,196,7.0,3250.0
amount below 500,493173,paid,0,163,1.0,250.0
amount below 500,528851,paid,0,92,1.0,250.0
amount below 500,520416,paid,0,461,1.0,250.0
amount below 1000,405306,paid,0,57,2.0,750.0
amount below 1500,557910,paid,0,418,3.0,1250.0
amount below 2500,415231,paid,0,1060,5.0,2250.0
amount below 1000,528843,charged_back,1,282,2.0,750.0
amount below 1500,528851,paid,0,92,3.0,1250.0
amount below 1000,455513,charged_back,1,63,2.0,750.0
amount below 1000,497490,paid,0,3,2.0,750.0
amount below 500,491283,paid,0,183,1.0,250.0
amount below 500,477213,refunded,1,370,1.0,250.0
amount below 500,406669,paid,0,1,1.0,250.0
amount below 1500,415231,paid,0,1060,3.0,1250.0
amount below 500,477291,paid,0,531,1.0,250.0
amount below 3500,415231,refunded,1,1060,7.0,3250.0
amount below 1000,415231,paid,0,1060,2.0,750.0
amount below 3500,415231,refunded,1,1060,7.0,3250.0
amount below 500,557907,paid,0,269,1.0,250.0
amount below 3000,454069,paid,0,10,6.0,2750.0
amount below 4000,491283,charged_back,1,183,8.0,3750.0
amount below 500,557907,paid,0,269,1.0,250.0
amount below 4500,491283,charged_back,1,183,9.0,4250.0
amount below 500,557907,paid,0,269,1.0,250.0
amount below 1000,528074,paid,0,3,2.0,750.0
amount below 500,549138,paid,0,399,1.0,250.0
amount below 500,477291,paid,0,531,1.0,250.0
amount below 500,549138,paid,0,399,1.0,250.0
amount below 1000,455255,paid,0,194,2.0,750.0
amount below 1000,491284,paid,0,156,2.0,750.0
amount below 500,415231,paid,0,1060,1.0,250.0
amount below 500,520694,paid,0,18,1.0,250.0
amount below 500,415231,paid,0,1060,1.0,250.0
amount below 500,462974,paid,0,11,1.0,250.0
amount below 1500,491283,charged_back,1,183,3.0,1250.0
amount below 500,462974,refunded,1,11,1.0,250.0
amount below 500,462974,refunded,1,11,1.0,250.0
amount below 1000,436401,paid,0,20,2.0,750.0
amount below 1500,491283,charged_back,1,183,3.0,1250.0
amount below 500,462974,refunded,1,11,1.0,250.0
amount below 500,462974,refunded,1,11,1.0,250.0
amount below 1000,512795,charged_back,1,14,2.0,750.0
amount below 500,462974,paid,0,11,1.0,250.0
amount below 500,421316,paid,0,212,1.0,250.0
amount below 1000,558426,paid,0,30,2.0,750.0
amount below 500,547046,paid,0,207,1.0,250.0
amount below 1000,557907,paid,0,269,2.0,750.0
amount below 1500,557907,paid,0,269,3.0,1250.0
amount below 1500,477213,paid,0,370,3.0,1250.0
amount below 2000,477210,paid,0,29,4.0,1750.0
amount below 2000,411079,paid,0,1,4.0,1750.0
amount below 2000,455513,charged_back,1,63,4.0,1750.0
amount below 500,552263,paid,0,10,1.0,250.0
amount below 500,557909,paid,0,139,1.0,250.0
amount below 1000,493161,paid,0,203,2.0,750.0
amount below 500,376689,paid,0,93,1.0,250.0
amount below 1000,416502,paid,0,28,2.0,750.0
amount below 500,426807,paid,0,86,1.0,250.0
amount below 3000,477291,paid,0,531,6.0,2750.0
amount below 1000,525678,paid,0,496,2.0,750.0
amount below 1500,512795,charged_back,1,14,3.0,1250.0
amount below 500,491089,paid,0,197,1.0,250.0
amount below 500,477214,paid,0,196,1.0,250.0
amount below 500,517712,paid,0,99,1.0,250.0
amount below 500,548234,paid,0,227,1.0,250.0
amount below 2000,404360,paid,0,51,4.0,1750.0
amount below 500,491284,paid,0,156,1.0,250.0
amount below 1000,493161,paid,0,203,2.0,750.0
amount below 500,554629,paid,0,76,1.0,250.0
amount below 1000,520416,paid,0,461,2.0,750.0
amount below 1000,415231,paid,0,1060,2.0,750.0
amount below 2500,455255,charged_back,1,194,5.0,2250.0
amount below 1500,528843,paid,0,282,3.0,1250.0
amount below 1000,528843,antifraud_declined,1,282,2.0,750.0
amount below 1500,528843,paid,0,282,3.0,1250.0
amount below 500,491089,paid,0,197,1.0,250.0
amount below 500,415231,paid,0,1060,1.0,250.0
amount below 1000,530056,paid,0,99,2.0,750.0
amount below 1000,477214,charged_back,1,196,2.0,750.0
amount below 1000,415231,paid,0,1060,2.0,750.0
amount below 1500,425981,charged_back,1,77,3.0,1250.0
amount below 1500,520416,paid,0,461,3.0,1250.0
amount below 500,477214,paid,0,196,1.0,250.0
amount below 500,557910,paid,0,418,1.0,250.0
amount below 1000,477214,paid,0,196,2.0,750.0
amount below 500,477214,paid,0,196,1.0,250.0
amount below 1000,552263,paid,0,10,2.0,750.0
amount below 1000,549138,paid,0,399,2.0,750.0
amount below 1000,549138,paid,0,399,2.0,750.0
amount below 500,491283,paid,0,183,1.0,250.0
amount below 1000,512795,charged_back,1,14,2.0,750.0
amount below 1000,455513,paid,0,63,2.0,750.0
amount below 2000,455505,paid,0,7,4.0,1750.0
amount below 500,415231,paid,0,1060,1.0,250.0
amount below 1000,557910,paid,0,418,2.0,750.0
amount below 1000,557910,refunded,1,418,2.0,750.0
amount below 1500,544434,paid,0,1,3.0,1250.0
amount below 500,455504,paid,0,8,1.0,250.0
amount below 1000,493173,paid,0,163,2.0,750.0
amount below 500,477291,paid,0,531,1.0,250.0
amount below 1500,421316,antifraud_declined,1,212,3.0,1250.0
amount below 6000,426807,paid,0,86,12.0,5750.0
amount below 4500,454057,charged_back,1,54,9.0,4250.0
amount below 1000,512795,charged_back,1,14,2.0,750.0
amount below 1000,547380,paid,0,34,2.0,750.0
amount below 1000,477291,paid,0,531,2.0,750.0
amount below 500,525678,paid,0,496,1.0,250.0
amount below 1500,547380,paid,0,34,3.0,1250.0
amount below 500,421316,paid,0,212,1.0,250.0
amount below 2000,408244,paid,0,13,4.0,1750.0
amount below 1000,420199,paid,0,43,2.0,750.0
amount below 2500,547046,paid,0,207,5.0,2250.0
amount below 1000,404360,paid,0,51,2.0,750.0
amount below 3500,491283,charged_back,1,183,7.0,3250.0
amount below 3500,491283,charged_back,1,183,7.0,3250.0
amount below 2500,425981,paid,0,77,5.0,2250.0
amount below 1000,525424,paid,0,14,2.0,750.0
amount below 1000,493161,paid,0,203,2.0,750.0
amount below 500,415231,refunded,1,1060,1.0,250.0
amount below 1000,415231,paid,0,1060,2.0,750.0
amount below 500,415231,paid,0,1060,1.0,250.0
amount below 1000,415231,paid,0,1060,2.0,750.0
amount below 1000,455514,paid,0,34,2.0,750.0
amount below 2000,376706,paid,0,12,4.0,1750.0
amount below 3500,491283,paid,0,183,7.0,3250.0
amount below 500,426807,paid,0,86,1.0,250.0
amount below 1000,477214,paid,0,196,2.0,750.0
amount below 1000,415231,paid,0,1060,2.0,750.0
amount below 1000,520416,paid,0,461,2.0,750.0
amount below 1000,491282,paid,0,37,2.0,750.0
amount below 3000,525678,paid,0,496,6.0,2750.0
amount below 500,525678,paid,0,496,1.0,250.0
amount below 500,520021,paid,0,38,1.0,250.0
amount below 500,525678,paid,0,496,1.0,250.0
amount below 2000,528843,paid,0,282,4.0,1750.0
amount below 1000,413388,paid,0,6,2.0,750.0
amount below 500,477214,paid,0,196,1.0,250.0
amount below 1000,455514,charged_back,1,34,2.0,750.0
amount below 1000,410181,paid,0,72,2.0,750.0
amount below 1000,408245,paid,0,32,2.0,750.0
amount below 1000,417849,refunded,1,41,2.0,750.0
amount below 500,415231,paid,0,1060,1.0,250.0
amount below 2000,547046,paid,0,207,4.0,1750.0
amount below 500,557910,paid,0,418,1.0,250.0
amount below 500,528843,paid,0,282,1.0,250.0
amount below 1000,455514,paid,0,34,2.0,750.0
amount below 10000,528843,paid,0,282,20.0,9750.0
amount below 500,415231,paid,0,1060,1.0,250.0
amount below 2000,477213,charged_back,1,370,4.0,1750.0
amount below 500,415231,paid,0,1060,1.0,250.0
amount below 1000,530056,paid,0,99,2.0,750.0
amount below 2000,493173,charged_back,1,163,4.0,1750.0
amount below 500,557907,paid,0,269,1.0,250.0
amount below 2500,376689,paid,0,93,5.0,2250.0
amount below 2000,491283,charged_back,1,183,4.0,1750.0
amount below 2000,520021,paid,0,38,4.0,1750.0
amount below 500,547068,paid,0,5,1.0,250.0
amount below 2000,491284,charged_back,1,156,4.0,1750.0
amount below 1500,455540,charged_back,1,26,3.0,1250.0
amount below 1500,455545,paid,0,45,3.0,1250.0
amount below 1000,455255,charged_back,1,194,2.0,750.0
amount below 1000,554764,paid,0,3,2.0,750.0
amount below 500,549138,paid,0,399,1.0,250.0
amount below 500,549138,paid,0,399,1.0,250.0
amount below 500,477213,charged_back,1,370,1.0,250.0
amount below 1000,370787,paid,0,29,2.0,750.0
amount below 500,477213,charged_back,1,370,1.0,250.0
amount below 1000,493172,paid,0,135,2.0,750.0
amount below 1000,512795,charged_back,1,14,2.0,750.0
amount below 2000,415231,paid,0,1060,4.0,1750.0
amount below 1000,477291,paid,0,531,2.0,750.0
amount below 500,549138,antifraud_declined,1,399,1.0,250.0
amount below 500,370787,paid,0,29,1.0,250.0
amount below 1000,520416,paid,0,461,2.0,750.0
amount below 500,370787,paid,0,29,1.0,250.0
amount below 1000,420199,paid,0,43,2.0,750.0
amount below 1000,520416,paid,0,461,2.0,750.0
amount below 1500,453903,paid,0,2,3.0,1250.0
amount below 1000,420199,paid,0,43,2.0,750.0
amount below 1500,528851,paid,0,92,3.0,1250.0
amount below 500,436401,paid,0,20,1.0,250.0
amount below 1000,517712,paid,0,99,2.0,750.0
amount below 500,477210,charged_back,1,29,1.0,250.0
amount below 1000,420199,paid,0,43,2.0,750.0
amount below 500,403617,refunded,1,1,1.0,250.0
amount below 1500,557907,paid,0,269,3.0,1250.0
amount below 5000,493158,paid,0,54,10.0,4750.0
amount below 500,477291,paid,0,531,1.0,250.0
amount below 1000,528851,paid,0,92,2.0,750.0
amount below 500,376689,paid,0,93,1.0,250.0
amount below 2000,531693,paid,0,1,4.0,1750.0
amount below 500,415231,paid,0,1060,1.0,250.0
amount below 1000,494398,paid,0,2,2.0,750.0
amount below 500,557910,paid,0,418,1.0,250.0
amount below 1000,549138,paid,0,399,2.0,750.0
amount below 500,520416,paid,0,461,1.0,250.0
amount below 1500,405306,paid,0,57,3.0,1250.0
amount below 1000,402318,paid,0,12,2.0,750.0
amount below 1000,549138,paid,0,399,2.0,750.0
amount below 1000,491375,paid,0,42,2.0,750.0
amount below 1000,477214,paid,0,196,2.0,750.0
amount below 1000,512795,charged_back,1,14,2.0,750.0
amount below 500,415231,paid,0,1060,1.0,250.0
amount below 1500,477214,paid,0,196,3.0,1250.0
amount below 1500,410181,antifraud_declined,1,72,3.0,1250.0
amount below 1000,528851,refunded,1,92,2.0,750.0
amount below 500,528851,paid,0,92,1.0,250.0
amount below 1000,477214,charged_back,1,196,2.0,750.0
amount below 500,370784,paid,0,21,1.0,250.0
amount below 3000,530056,paid,0,99,6.0,2750.0
amount below 500,493161,paid,0,203,1.0,250.0
amount below 500,520416,paid,0,461,1.0,250.0
amount below 500,549138,paid,0,399,1.0,250.0
amount below 500,415231,paid,0,1060,1.0,250.0
amount below 1500,477213,charged_back,1,370,3.0,1250.0
amount below 500,493160,charged_back,1,5,1.0,250.0
amount below 1000,493160,charged_back,1,5,2.0,750.0
amount below 500,548234,paid,0,227,1.0,250.0
amount below 2000,549138,charged_back,1,399,4.0,1750.0
amount below 2500,477291,charged_back,1,531,5.0,2250.0
amount below 500,544548,paid,0,31,1.0,250.0
amount below 1500,557907,paid,0,269,3.0,1250.0
amount below 500,415231,paid,0,1060,1.0,250.0
amount below 1000,525678,paid,0,496,2.0,750.0
amount below 1000,493161,paid,0,203,2.0,750.0
amount below 5000,557910,paid,0,418,10.0,4750.0
amount below 1000,525678,paid,0,496,2.0,750.0
amount below 1000,416502,paid,0,28,2.0,750.0
amount below 500,410181,refunded,1,72,1.0,250.0
amount below 1500,528843,paid,0,282,3.0,1250.0
amount below 1500,557910,paid,0,418,3.0,1250.0
amount below 500,528851,paid,0,92,1.0,250.0
amount below 1000,376690,paid,0,25,2.0,750.0
amount below 500,477213,charged_back,1,370,1.0,250.0
amount below 500,410181,partially_refunded,1,72,1.0,250.0
amount below 500,376689,paid,0,93,1.0,250.0
amount below 1000,376696,paid,0,3,2.0,750.0
amount below 500,376689,paid,0,93,1.0,250.0
amount below 500,477213,paid,0,370,1.0,250.0
amount below 1000,410181,paid,0,72,2.0,750.0
amount below 500,520416,paid,0,461,1.0,250.0
amount below 1000,370785,paid,0,16,2.0,750.0
amount below 2000,557910,paid,0,418,4.0,1750.0
amount below 1000,518853,paid,0,46,2.0,750.0
amount below 1500,454497,charged_back,1,1,3.0,1250.0
amount below 1000,518853,paid,0,46,2.0,750.0
amount below 1000,557905,paid,0,12,2.0,750.0
amount below 2000,547096,paid,0,54,4.0,1750.0
amount below 500,491283,paid,0,183,1.0,250.0
amount below 1500,405930,paid,0,51,3.0,1250.0
amount below 500,491283,paid,0,183,1.0,250.0
amount below 500,491283,paid,0,183,1.0,250.0
amount below 1500,415231,paid,0,1060,3.0,1250.0
amount below 500,520416,paid,0,461,1.0,250.0
amount below 1000,520416,paid,0,461,2.0,750.0
amount below 500,491089,paid,0,197,1.0,250.0
amount below 1000,557910,paid,0,418,2.0,750.0
amount below 500,477291,paid,0,531,1.0,250.0
amount below 1000,410181,paid,0,72,2.0,750.0
amount below 1000,477213,paid,0,370,2.0,750.0
amount below 1000,547046,paid,0,207,2.0,750.0
amount below 1000,421316,paid,0,212,2.0,750.0
amount below 2000,477213,paid,0,370,4.0,1750.0
amount below 500,557910,refunded,1,418,1.0,250.0
amount below 500,557910,refunded,1,418,1.0,250.0
amount below 500,557910,refunded,1,418,1.0,250.0
amount below 500,557910,refunded,1,418,1.0,250.0
amount below 500,557910,refunded,1,418,1.0,250.0
amount below 500,557910,paid,0,418,1.0,250.0
amount below 1000,477291,paid,0,531,2.0,750.0
amount below 1000,415231,paid,0,1060,2.0,750.0
amount below 1000,557907,paid,0,269,2.0,750.0
amount below 2000,512795,charged_back,1,14,4.0,1750.0
amount below 1500,455505,paid,0,7,3.0,1250.0
amount below 3000,557907,paid,0,269,6.0,2750.0
amount below 2000,528843,paid,0,282,4.0,1750.0
amount below 1500,528851,paid,0,92,3.0,1250.0
amount below 500,455513,paid,0,63,1.0,250.0
amount below 1500,528843,paid,0,282,3.0,1250.0
amount below 500,415231,paid,0,1060,1.0,250.0
amount below 2500,528851,paid,0,92,5.0,2250.0
amount below 1500,549949,paid,0,91,3.0,1250.0
amount below 1500,421316,paid,0,212,3.0,1250.0
amount below 500,416916,paid,0,73,1.0,250.0
amount below 2000,376663,paid,0,10,4.0,1750.0
amount below 1000,417849,paid,0,41,2.0,750.0
amount below 500,477213,paid,0,370,1.0,250.0
amount below 500,493162,paid,0,33,1.0,250.0
amount below 1500,549949,refunded,1,91,3.0,1250.0
amount below 1000,557910,paid,0,418,2.0,750.0
amount below 500,421316,paid,0,212,1.0,250.0
amount below 1000,477291,paid,0,531,2.0,750.0
amount below 500,415231,paid,0,1060,1.0,250.0
amount below 500,477214,paid,0,196,1.0,250.0
amount below 1000,493173,paid,0,163,2.0,750.0
amount below 500,525678,paid,0,496,1.0,250.0
amount below 500,548234,paid,0,227,1.0,250.0
amount below 500,415231,paid,0,1060,1.0,250.0
amount below 1500,518899,paid,0,65,3.0,1250.0
amount below 1000,549138,paid,0,399,2.0,750.0
amount below 1000,415231,paid,0,1060,2.0,750.0
amount below 1000,415231,paid,0,1060,2.0,750.0
amount below 500,463186,paid,0,30,1.0,250.0
amount below 500,520416,paid,0,461,1.0,250.0
amount below 500,541286,paid,0,8,1.0,250.0
amount below 1000,477291,paid,0,531,2.0,750.0
amount below 500,541286,refunded,1,8,1.0,250.0
amount below 500,541286,refunded,1,8,1.0,250.0
amount below 1000,455540,paid,0,26,2.0,750.0
amount below 500,413406,paid,0,45,1.0,250.0
amount below 500,415231,paid,0,1060,1.0,250.0
amount below 3000,410181,paid,0,72,6.0,2750.0
amount below 500,477210,paid,0,29,1.0,250.0
amount below 1000,376690,paid,0,25,2.0,750.0
amount below 500,477210,charged_back,1,29,1.0,250.0
amount below 1500,443264,paid,0,1,3.0,1250.0
amount below 1500,528843,charged_back,1,282,3.0,1250.0
amount below 500,518127,paid,0,2,1.0,250.0
amount below 500,426807,paid,0,86,1.0,250.0
amount below 1000,493173,charged_back,1,163,2.0,750.0
amount below 500,557910,paid,0,418,1.0,250.0
amount below 500,426807,paid,0,86,1.0,250.0
amount below 1000,530115,paid,0,1,2.0,750.0
amount below 500,420199,paid,0,43,1.0,250.0
amount below 500,549138,refunded,1,399,1.0,250.0
amount below 1000,455540,charged_back,1,26,2.0,750.0
amount below 1000,520416,paid,0,461,2.0,750.0
amount below 1000,477213,paid,0,370,2.0,750.0
amount below 500,477291,paid,0,531,1.0,250.0
amount below 500,415231,refunded,1,1060,1.0,250.0
amount below 500,415231,refunded,1,1060,1.0,250.0
amount below 500,528843,paid,0,282,1.0,250.0
amount below 1000,528843,paid,0,282,2.0,750.0
amount below 1000,376669,paid,0,11,2.0,750.0
amount below 500,415231,paid,0,1060,1.0,250.0
amount below 1000,455500,refunded,1,33,2.0,750.0
amount below 1000,549138,paid,0,399,2.0,750.0
amount below 1000,455500,refunded,1,33,2.0,750.0
amount below 1500,538900,paid,0,1,3.0,1250.0
amount below 500,415231,paid,0,1060,1.0,250.0
amount below 1000,493161,paid,0,203,2.0,750.0
amount below 1000,455511,paid,0,64,2.0,750.0
amount below 2000,463186,paid,0,30,4.0,1750.0
amount below 500,549138,paid,0,399,1.0,250.0
amount below 500,517712,paid,0,99,1.0,250.0
amount below 1000,455540,charged_back,1,26,2.0,750.0
amount below 1000,455255,paid,0,194,2.0,750.0
amount below 500,415231,paid,0,1060,1.0,250.0
amount below 500,455255,paid,0,194,1.0,250.0
amount below 1000,421316,paid,0,212,2.0,750.0
amount below 1500,557910,paid,0,418,3.0,1250.0
amount below 1500,518853,paid,0,46,3.0,1250.0
amount below 500,512795,charged_back,1,14,1.0,250.0
amount below 1500,370787,paid,0,29,3.0,1250.0
amount below 1000,545375,paid,0,53,2.0,750.0
amount below 500,405306,paid,0,57,1.0,250.0
amount below 2500,477213,charged_back,1,370,5.0,2250.0
amount below 4000,557907,paid,0,269,8.0,3750.0
amount below 1000,549138,paid,0,399,2.0,750.0
amount below 1000,405306,refunded,1,57,2.0,750.0
amount below 1000,405306,refunded,1,57,2.0,750.0
amount below 500,557910,paid,0,418,1.0,250.0
amount below 500,520416,paid,0,461,1.0,250.0
